50mtorr_70W
Integration time [ms]: 2000,000
Averaging Nr. [scans]: 5
Smoothing Nr. [pixels]: 1
Data measured with spectrometer [name]: 1004019U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 520,43; 1639,667;    0,000;    0,000
 520,51; 1856,800;    0,000;    0,000
 520,58; 1928,800;    0,000;    0,000
 520,65; 1962,867;    0,000;    0,000
 520,73; 1923,800;    0,000;    0,000
 520,80; 2000,400;    0,000;    0,000
 520,88; 2195,400;    0,000;    0,000
 520,95; 2211,667;    0,000;    0,000
 521,02; 2068,400;    0,000;    0,000
 521,10; 1862,800;    0,000;    0,000
 521,17; 2204,867;    0,000;    0,000
 521,24; 2586,133;    0,000;    0,000
 521,32; 2502,733;    0,000;    0,000
 521,39; 2328,067;    0,000;    0,000
 521,46; 2675,133;    0,000;    0,000
 521,54; 3290,400;    0,000;    0,000
 521,61; 3257,533;    0,000;    0,000
 521,68; 2712,133;    0,000;    0,000
 521,76; 2434,933;    0,000;    0,000
 521,83; 2814,133;    0,000;    0,000
 521,90; 3282,867;    0,000;    0,000
 521,98; 3331,867;    0,000;    0,000
 522,05; 3398,733;    0,000;    0,000
 522,12; 3568,733;    0,000;    0,000
 522,20; 3612,600;    0,000;    0,000
 522,27; 3159,800;    0,000;    0,000
 522,34; 3171,133;    0,000;    0,000
 522,42; 3680,333;    0,000;    0,000
 522,49; 4529,867;    0,000;    0,000
 522,56; 4931,533;    0,000;    0,000
 522,64; 4917,467;    0,000;    0,000
 522,71; 4882,000;    0,000;    0,000
 522,78; 5096,400;    0,000;    0,000
 522,86; 6017,800;    0,000;    0,000
 522,93; 6401,800;    0,000;    0,000
 523,00; 6173,267;    0,000;    0,000
 523,08; 5563,933;    0,000;    0,000
 523,15; 5890,800;    0,000;    0,000
 523,22; 6961,200;    0,000;    0,000
 523,30; 8052,000;    0,000;    0,000
 523,37; 7465,600;    0,000;    0,000
 523,44; 6080,000;    0,000;    0,000
 523,52; 4619,667;    0,000;    0,000
 523,59; 4592,067;    0,000;    0,000
 523,66; 5010,733;    0,000;    0,000
 523,74; 5283,133;    0,000;    0,000
 523,81; 5219,933;    0,000;    0,000
 523,88; 5707,400;    0,000;    0,000
 523,96; 6929,867;    0,000;    0,000
 524,03; 7868,867;    0,000;    0,000
 524,10; 7239,000;    0,000;    0,000
 524,17; 6173,400;    0,000;    0,000
 524,25; 6032,333;    0,000;    0,000
 524,32; 6643,533;    0,000;    0,000
 524,39; 6343,133;    0,000;    0,000
 524,47; 5913,200;    0,000;    0,000
 524,54; 6154,733;    0,000;    0,000
 524,61; 6896,667;    0,000;    0,000
 524,69; 7459,067;    0,000;    0,000
 524,76; 7996,533;    0,000;    0,000
 524,83; 8609,400;    0,000;    0,000
 524,91; 8944,667;    0,000;    0,000
 524,98; 9199,333;    0,000;    0,000
 525,05; 8469,800;    0,000;    0,000
 525,13; 8179,667;    0,000;    0,000
 525,20; 7420,400;    0,000;    0,000
 525,27; 8039,133;    0,000;    0,000
 525,35; 8688,066;    0,000;    0,000
 525,42; 9806,267;    0,000;    0,000
 525,49;10641,667;    0,000;    0,000
 525,56;10230,333;    0,000;    0,000
 525,64; 9002,200;    0,000;    0,000
 525,71; 8208,667;    0,000;    0,000
 525,78; 8389,333;    0,000;    0,000
 525,86; 8343,733;    0,000;    0,000
 525,93; 7834,733;    0,000;    0,000
 526,00; 7349,200;    0,000;    0,000
 526,08; 7996,133;    0,000;    0,000
 526,15; 8316,134;    0,000;    0,000
 526,22; 8010,133;    0,000;    0,000
 526,30; 7733,333;    0,000;    0,000
 526,37; 8033,467;    0,000;    0,000
 526,44; 8551,267;    0,000;    0,000
 526,51; 8044,600;    0,000;    0,000
 526,59; 6781,200;    0,000;    0,000
 526,66; 6029,933;    0,000;    0,000
 526,73; 5910,733;    0,000;    0,000
 526,81; 6190,067;    0,000;    0,000
 526,88; 6337,733;    0,000;    0,000
 526,95; 6692,333;    0,000;    0,000
 527,03; 7190,533;    0,000;    0,000
 527,10; 7403,267;    0,000;    0,000
 527,17; 7055,600;    0,000;    0,000
 527,25; 6151,733;    0,000;    0,000
 527,32; 5428,867;    0,000;    0,000
 527,39; 4824,667;    0,000;    0,000
 527,46; 4346,867;    0,000;    0,000
 527,54; 3714,267;    0,000;    0,000
 527,61; 3741,600;    0,000;    0,000
 527,68; 4263,267;    0,000;    0,000
 527,76; 4716,867;    0,000;    0,000
 527,83; 4825,400;    0,000;    0,000
 527,90; 5243,733;    0,000;    0,000
 527,97; 5687,800;    0,000;    0,000
 528,05; 5066,733;    0,000;    0,000
 528,12; 3987,467;    0,000;    0,000
 528,19; 3062,133;    0,000;    0,000
 528,27; 3127,533;    0,000;    0,000
 528,34; 3105,467;    0,000;    0,000
