50mtorr70W
Integration time [ms]: 200,000
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1004020U2
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 728,95;  -55,750;    0,000;    0,000
 729,02;   -0,670;    0,000;    0,000
 729,08;  -65,390;    0,000;    0,000
 729,15;  -21,550;    0,000;    0,000
 729,21; -108,950;    0,000;    0,000
 729,28;   51,600;    0,000;    0,000
 729,34;  -34,600;    0,000;    0,000
 729,41;   87,360;    0,000;    0,000
 729,47;   56,200;    0,000;    0,000
 729,54;   88,650;    0,000;    0,000
 729,60;   77,710;    0,000;    0,000
 729,67;   58,670;    0,000;    0,000
 729,73;  -84,270;    0,000;    0,000
 729,80;  113,320;    0,000;    0,000
 729,86;  -53,300;    0,000;    0,000
 729,93;   -9,260;    0,000;    0,000
 729,99;  -16,690;    0,000;    0,000
 730,06;   -8,520;    0,000;    0,000
 730,12;   22,730;    0,000;    0,000
 730,19;  -70,610;    0,000;    0,000
 730,25;   47,560;    0,000;    0,000
 730,32;  145,390;    0,000;    0,000
 730,38;  -41,110;    0,000;    0,000
 730,45;   44,510;    0,000;    0,000
 730,51;  -55,340;    0,000;    0,000
 730,58;   18,790;    0,000;    0,000
 730,64;   -1,130;    0,000;    0,000
 730,71;  -88,960;    0,000;    0,000
 730,77;   68,060;    0,000;    0,000
 730,84;   31,040;    0,000;    0,000
 730,90;  -57,290;    0,000;    0,000
 730,97;  -14,740;    0,000;    0,000
 731,03;  -11,380;    0,000;    0,000
 731,10;   44,600;    0,000;    0,000
 731,16;   -5,370;    0,000;    0,000
 731,23;  -30,860;    0,000;    0,000
 731,29;  -43,520;    0,000;    0,000
 731,36;   -0,700;    0,000;    0,000
 731,42;   47,220;    0,000;    0,000
 731,49;  -45,990;    0,000;    0,000
 731,55;   -8,400;    0,000;    0,000
 731,62;  -93,390;    0,000;    0,000
 731,68;   26,830;    0,000;    0,000
 731,75;  -63,430;    0,000;    0,000
 731,81;  -14,910;    0,000;    0,000
 731,87;   26,000;    0,000;    0,000
 731,94;  -20,600;    0,000;    0,000
 732,00;  -65,090;    0,000;    0,000
 732,07;   32,870;    0,000;    0,000
 732,13;  -34,750;    0,000;    0,000
 732,20;  -78,360;    0,000;    0,000
 732,26;  -23,740;    0,000;    0,000
 732,33;   -9,400;    0,000;    0,000
 732,39;   22,210;    0,000;    0,000
 732,46;   21,750;    0,000;    0,000
 732,52;   24,480;    0,000;    0,000
 732,59; -129,220;    0,000;    0,000
 732,65;  -11,970;    0,000;    0,000
 732,72;  -15,990;    0,000;    0,000
 732,78;   51,720;    0,000;    0,000
 732,85;    9,310;    0,000;    0,000
 732,91;   32,640;    0,000;    0,000
 732,98;    0,710;    0,000;    0,000
 733,04;  -74,380;    0,000;    0,000
 733,11;  -42,410;    0,000;    0,000
 733,17;   47,320;    0,000;    0,000
 733,24;  -18,930;    0,000;    0,000
 733,30;    6,400;    0,000;    0,000
 733,36; -139,740;    0,000;    0,000
 733,43;  108,430;    0,000;    0,000
 733,49;  -57,980;    0,000;    0,000
 733,56;   70,340;    0,000;    0,000
 733,62; -177,700;    0,000;    0,000
 733,69;  -31,320;    0,000;    0,000
 733,75;  -62,740;    0,000;    0,000
 733,82;  -43,820;    0,000;    0,000
 733,88;  -60,980;    0,000;    0,000
 733,95;   70,150;    0,000;    0,000
 734,01;   21,600;    0,000;    0,000
 734,08;  -29,990;    0,000;    0,000
 734,14;  -47,600;    0,000;    0,000
 734,21;  133,490;    0,000;    0,000
 734,27; -113,770;    0,000;    0,000
 734,33;    6,060;    0,000;    0,000
 734,40; -159,020;    0,000;    0,000
 734,46;   24,060;    0,000;    0,000
 734,53;    5,040;    0,000;    0,000
 734,59; -121,600;    0,000;    0,000
 734,66;  -59,200;    0,000;    0,000
 734,72;  -59,280;    0,000;    0,000
 734,79;  -82,450;    0,000;    0,000
 734,85;    8,770;    0,000;    0,000
 734,92;  -77,110;    0,000;    0,000
 734,98;   -3,210;    0,000;    0,000
 735,04; -119,380;    0,000;    0,000
